City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Lagoa,PT,39.05,-27.9833,57.42,74,1,18.5,clear sky
140,Dikson,RU,73.5069,80.5464,15.78,91,100,20.07,overcast clouds
141,Port Elizabeth,ZA,-33.918,25.5701,60.31,81,95,8.01,overcast clouds
142,Mana,GF,5.6592,-53.7767,76.55,92,89,7.2,overcast clouds
143,Muravlenko,RU,63.7898,74.523,27.91,86,72,3.67,broken clouds
144,Te Anau,NZ,-45.4167,167.7167,51.49,79,78,3.89,broken clouds
145,Dingle,PH,10.9995,122.6711,88.63,63,70,12.8,broken clouds
146,Portland,US,45.5234,-122.6762,58.95,67,100,5.75,overcast clouds
147,Cayenne,GF,4.9333,-52.3333,80.1,1,20,1.99,few clouds
148,Fujin,CN,47.26,132.0322,63.21,25,100,7.54,overcast clouds
149,Upata,VE,8.0086,-62.3989,73.42,86,100,3.69,overcast clouds
150,Kulob,TJ,37.9145,69.783,75.96,50,20,4.47,few clouds
151,Spassk-Ryazanskiy,RU,54.4072,40.3806,55.42,82,83,8.25,broken clouds
152,Grindavik,IS,63.8424,-22.4338,39.67,100,75,8.05,broken clouds
153,Topeka,US,39.0483,-95.678,49.06,57,0,14.97,clear sky
154,Tuatapere,NZ,-46.1333,167.6833,51.03,83,88,10.18,overcast clouds
155,Naze,JP,28.3667,129.4833,77.92,83,5,5.93,clear sky
156,Victoria,HK,22.2855,114.1577,87.96,80,29,8.99,scattered clouds
157,Pisco,PE,-13.7,-76.2167,66.25,88,98,2.3,mist
158,Quelimane,MZ,-17.8786,36.8883,75.43,92,68,6.22,broken clouds
159,Yulara,AU,-25.2406,130.9889,78.69,29,49,4.59,scattered clouds
160,Inongo,CD,-1.95,18.2667,73.29,88,89,2.84,overcast clouds
161,Labytnangi,RU,66.6572,66.4183,20.53,80,52,3.71,broken clouds
162,Walvis Bay,NA,-22.9575,14.5053,58.89,69,0,2.75,clear sky
163,Namibe,AO,-15.1961,12.1522,69.19,84,7,2.44,clear sky
164,Cockburn Town,TC,21.4612,-71.1419,76.8,74,84,20.49,broken clouds
165,Kousseri,CM,12.0769,15.0306,92.75,23,84,3.6,broken clouds
166,Salalah,OM,17.0151,54.0924,86.09,70,40,9.22,scattered clouds
167,Saint-Augustin,CA,51.226,-58.6502,36.95,93,100,14.03,overcast clouds
168,Kuytun,RU,54.3419,101.5036,30.88,80,89,12.06,light snow
169,Wanaka,NZ,-44.7,169.15,58.1,67,23,1.99,few clouds
170,Restrepo,CO,3.822,-76.5224,62.94,97,100,1.88,overcast clouds
171,Chokurdakh,RU,70.6333,147.9167,13.21,92,71,5.88,broken clouds
172,Margate,GB,51.3813,1.3862,47.7,80,6,8.01,clear sky
173,Palmer,US,42.1584,-72.3287,44.92,77,0,3.44,clear sky
174,Cherskiy,RU,68.75,161.3,27.7,78,100,4.85,overcast clouds
175,Georgetown,MY,5.4112,100.3354,91.33,66,20,9.22,few clouds
176,College,US,64.8569,-147.8028,46.38,44,75,3.44,broken clouds
177,Taoudenni,ML,22.6783,-3.9836,71.89,32,0,8.63,clear sky
178,Tual,ID,-5.6667,132.75,84.27,66,29,3.27,scattered clouds
179,Mount Isa,AU,-20.7333,139.5,73.17,100,100,6.91,overcast clouds
180,Torbay,CA,47.6666,-52.7314,36.88,95,89,10.0,overcast clouds
181,Bardiyah,LY,31.7561,25.0865,63.91,68,55,4.74,broken clouds
182,East London,ZA,-33.0153,27.9116,60.85,64,64,14.65,broken clouds
183,Leh,IN,34.1667,77.5833,46.58,30,48,2.37,scattered clouds
184,Qaqortoq,GL,60.7167,-46.0333,34.02,92,100,3.89,overcast clouds
185,Monte Patria,CL,-30.6919,-70.9467,59.13,76,0,1.52,clear sky
