City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
176,Husavik,IS,2022-04-24 13:27:00,66.0449,-17.3389,43.57,81,38,4.41
177,Waghai,IN,2022-04-24 13:27:01,20.7667,73.4833,96.96,18,5,11.14
178,Mindelo,CV,2022-04-24 13:27:01,16.8901,-24.9804,85.55,39,0,12.66
179,Saint-Pierre,RE,2022-04-24 13:27:01,-21.3393,55.4781,78.48,67,40,25.32
180,Lindi,TZ,2022-04-24 13:27:01,-10.0,39.7167,83.62,74,100,5.19
181,Boende,CD,2022-04-24 13:27:02,-0.2167,20.8667,87.78,49,100,4.16
182,Mettur,IN,2022-04-24 13:27:02,11.8,77.8,93.18,36,47,2.46
183,Khandyga,RU,2022-04-24 13:28:02,62.6667,135.6,16.57,97,36,1.43
184,Mogadishu,SO,2022-04-24 13:26:38,2.0371,45.3438,89.47,70,20,13.8
185,Antofagasta,CL,2022-04-24 13:25:57,-23.65,-70.4,61.88,71,22,0.96
186,Balakliya,UA,2022-04-24 13:28:03,49.4627,36.8595,62.33,63,100,4.29
187,Arawa,PG,2022-04-24 13:28:03,-6.2132,155.5367,76.78,88,99,2.48
188,Enshi,CN,2022-04-24 13:28:04,30.3,109.4833,68.76,97,100,1.12
189,Mitu,CO,2022-04-24 13:28:04,1.1983,-70.1733,78.03,93,30,2.53
190,Paulo Afonso,BR,2022-04-24 13:28:04,-9.4061,-38.2147,82.58,64,100,9.69
191,Paramonga,PE,2022-04-24 13:28:05,-10.6667,-77.8333,68.38,83,80,5.1
192,Axim,GH,2022-04-24 13:28:05,4.8699,-2.2405,85.84,72,100,10.76
193,Kulhudhuffushi,MV,2022-04-24 13:28:06,6.6221,73.07,84.7,69,21,2.75
194,Leshukonskoye,RU,2022-04-24 13:28:06,64.8989,45.7622,37.13,70,20,5.41
195,Aklavik,CA,2022-04-24 13:28:06,68.2191,-135.0107,27.34,92,100,4.9
196,Moyale,KE,2022-04-24 13:28:07,3.5167,39.0584,75.87,67,80,10.11
197,Padang,ID,2022-04-24 13:28:07,-0.9492,100.3543,80.49,87,100,2.06
198,Singtam,IN,2022-04-24 13:28:07,27.2333,88.5,74.35,83,2,4.61
199,Muisne,EC,2022-04-24 13:28:08,0.6,-80.0333,77.92,83,100,8.34
200,Tulun,RU,2022-04-24 13:28:08,54.5611,100.5792,25.83,80,98,10.69
201,Conyers,US,2022-04-24 13:23:38,33.6676,-84.0177,66.61,87,0,0.0
202,Terney,RU,2022-04-24 13:28:09,45.0503,136.6092,46.18,52,7,5.75
203,Vaitape,PF,2022-04-24 13:28:09,-16.5167,-151.75,80.06,73,100,6.02
